Author/date,Muscle,Ext/Flex,Upper/lower,subgroup,%MVC,Young age mean,Elderly age mean,Ne,Nc,Me,Se,Mc,Sc
Kirk 2016,Lateral gastrocnemius,Extensor,Lower,Lower_extensor,0.25,27,81,10,10,9.9,4,8.3,2.3
Kirk 2016,Lateral gastrocnemius,Extensor,Lower,Lower_extensor,0.5,27,81,10,10,13.2,6.8,11.5,4.7
Kirk 2016,Lateral gastrocnemius,Extensor,Lower,Lower_extensor,0.75,27,81,10,10,17.4,8.2,15.4,7.5
Kirk 2016,Lateral gastrocnemius,Extensor,Lower,Lower_extensor,1,27,81,10,10,22.8,8.4,21.4,9.5
Kirk 2016,Medial gastrocnemius,Extensor,Lower,Lower_extensor,0.25,27,81,10,10,9.3,2.9,9.7,4.5
Kirk 2016,Medial gastrocnemius,Extensor,Lower,Lower_extensor,0.5,27,81,10,10,11.5,3.9,11.8,6
Kirk 2016,Medial gastrocnemius,Extensor,Lower,Lower_extensor,0.75,27,81,10,10,16,6.9,16.6,9.8
Kirk 2016,Medial gastrocnemius,Extensor,Lower,Lower_extensor,1,27,81,10,10,22.6,8.4,20.7,9.8
Kirk 2021a,First dorsal interosseous,Other,Upper,Upper,0.25,28.5,85,5,5,14.6,3.5,15.3,4.5
Kirk 2021a,First dorsal interosseous,Other,Upper,Upper,0.5,28.5,85,5,5,19.9,7.8,20.5,7.6
Kirk 2021a,First dorsal interosseous,Other,Upper,Upper,1,28.5,85,5,5,31,9.5,32.3,7.5
Kirk 2021b,Anconeus,Extensor,Upper,Upper_extensor,1,28.5,83,8,13,30.3,8.24,17.7,8.1
Dalton 2009,Soleus,Extensor,Lower,Lower_extensor,0.75,23.5,75.3,6,6,14.9,4,14,4
Dalton 2009,Soleus,Extensor,Lower,Lower_extensor,1,23.5,75.3,6,6,16.3,5.3,16.4,5.3
Dalton 2009,Soleus,Extensor,Lower,Lower_extensor,0.25,23.5,75.3,6,6,8.8,2,7.9,2
Dalton 2009,Soleus,Extensor,Lower,Lower_extensor,0.5,23.5,75.3,6,6,12.1,3,9.7,3
Kallio 2010,Soleus,Extensor,Lower,Lower_extensor,0.2,27.3,70.4,10,13,29,13,24.2,17
Kallio 2010,Soleus,Extensor,Lower,Lower_extensor,0.4,27.3,70.4,10,13,29,12,25.7,19
Kamen 2004,Vastus lateralis,Extensor,Lower,Lower_extensor,0.1,21,77,8,7,9.1,,9.4,
Kamen 2004,Vastus lateralis,Extensor,Lower,Lower_extensor,0.5,21,77,8,7,17.6,,13,
Kamen 2004,Vastus lateralis,Extensor,Lower,Lower_extensor,1,21,77,8,7,24.7,,17.8,
Mota 2020,Vastus lateralis,Extensor,Lower,Lower_extensor,0.5,25,75,12,12,13.7,3.1,13.6,2.5
Piasecki 2016,Vastus lateralis,Extensor,Lower,Lower_extensor,0.25,25.3,71.4,22,20,9.6,2.3,8.8,2.3
Roos 1999,Vastus medialis,Extensor,Lower,Lower_extensor,0.1,26.2,80,13,12,8.6,2.2,9,2
Roos 1999,Vastus medialis,Extensor,Lower,Lower_extensor,0.25,26.2,80,13,12,10,6,10,2.5
Roos 1999,Vastus medialis,Extensor,Lower,Lower_extensor,0.5,26.2,80,13,12,14.2,5.6,14.1,4.3
Roos 1999,Vastus medialis,Extensor,Lower,Lower_extensor,0.75,26.2,80,13,12,18.1,7.2,19.1,5.4
Roos 1999,Vastus medialis,Extensor,Lower,Lower_extensor,1,26.2,80,13,12,26.3,3.8,25.4,7.2
Kirk 2018,Biceps femoris,Flexor,Lower,Lower_flexor,0.25,26,80,11,10,12,3.7,11.5,3.3
Kirk 2018,Biceps femoris,Flexor,Lower,Lower_flexor,0.5,26,80,11,10,16.1,8.6,12.8,4
Kirk 2018,Biceps femoris,Flexor,Lower,Lower_flexor,1,26,80,11,10,26.1,10.1,15.6,6.4
Kirk 2018,SS Group,Flexor,Lower,Lower_flexor,0.25,26,80,11,10,15.6,6.3,10.5,3.2
Kirk 2018,SS Group,Flexor,Lower,Lower_flexor,0.5,26,80,11,10,20.3,7.8,11.2,3.3
Kirk 2018,SS Group,Flexor,Lower,Lower_flexor,1,26,80,11,10,27.9,7.8,15.3,5.9
Christie 2009,Tibialis Anterior,Flexor,Lower,Lower_flexor,0.5,23.9,75.6,8,8,15.5,6,14.5,2
Christie 2010,Tibialis Anterior,Flexor,Lower,Lower_flexor,1,21.9,72.9,30,30,33.9,7.1,28.3,5.8
Connelly 1999,Tibialis Anterior,Flexor,Lower,Lower_flexor,0.1,20.8,82,6,6,12.1,2.4,8.6,2.5
Connelly 1999,Tibialis Anterior,Flexor,Lower,Lower_flexor,0.25,20.8,82,6,6,15.3,4,10.8,2.6
Connelly 1999,Tibialis Anterior,Flexor,Lower,Lower_flexor,0.5,20.8,82,6,6,22.2,6.2,14.8,4.5
Connelly 1999,Tibialis Anterior,Flexor,Lower,Lower_flexor,0.75,20.8,82,6,6,28,7.8,24.5,8.7
Connelly 1999,Tibialis Anterior,Flexor,Lower,Lower_flexor,1,20.8,82,6,6,41.8,8.2,30.8,8.4
Kwon 2018,Tibialis Anterior,Flexor,Lower,Lower_flexor,0.15,22.6,74.1,11,12,14.9,3,12.2,2.8
Patten 2000,Tibialis Anterior,Flexor,Lower,Lower_flexor,0.1,19.2,70.3,6,6,9.7,2.8,9.2,1.8
Patten 2000,Tibialis Anterior,Flexor,Lower,Lower_flexor,0.2,19.2,70.3,6,6,12.3,1.9,10.8,1.4
Patten 2000,Tibialis Anterior,Flexor,Lower,Lower_flexor,0.3,19.2,70.3,6,6,14.5,1.6,13.8,1.5
Patten 2000,Tibialis Anterior,Flexor,Lower,Lower_flexor,0.4,19.2,70.3,6,6,16,1.3,15.7,1.7
Patten 2000,Tibialis Anterior,Flexor,Lower,Lower_flexor,0.6,19.2,70.3,6,6,22.6,1.3,21.7,1.4
Patten 2000,Tibialis Anterior,Flexor,Lower,Lower_flexor,1,19.2,70.3,6,6,59.6,7.5,44.4,11.5
Rubinstein 2005,Tibialis Anterior,Flexor,Lower,Lower_flexor,1,19.2,73.1,11,8,28.2,5.8,22.3,4.8
Dalton 2010,Biceps Brachii,Extensor,Upper,Upper,0.1,24,83,6,6,14.1,0.9,10.6,0.4
Dalton 2010,Biceps Brachii,Extensor,Upper,Upper,0.25,24,83,6,6,17.5,1.2,12.5,0.4
Dalton 2010,Biceps Brachii,Extensor,Upper,Upper,0.5,24,83,6,6,22.1,1.3,16.7,0.5
Dalton 2010,Biceps Brachii,Extensor,Upper,Upper,0.75,24,83,6,6,30.5,1.5,21.7,0.6
Dalton 2010,Biceps Brachii,Extensor,Upper,Upper,1,24,83,6,6,42.4,1.5,27.2,0.8
Pereira 2019,Biceps Brachii,Flexor,Upper,Upper,0.05,21.9,67.7,49,34,11.4,1.9,11.2,1.8
Dalton 2010,Triceps Brachii,Flexor,Upper,Upper,0.1,24,83,6,6,12.4,0.6,11.5,1
Dalton 2010,Triceps Brachii,Flexor,Upper,Upper,0.25,24,83,6,6,15.9,0.9,13.9,1.2
Dalton 2010,Triceps Brachii,Flexor,Upper,Upper,0.5,24,83,6,6,20,0.7,16.1,0.9
Dalton 2010,Triceps Brachii,Flexor,Upper,Upper,0.75,24,83,6,6,26.9,0.7,24.1,0.9
Dalton 2010,Triceps Brachii,Flexor,Upper,Upper,1,24,83,6,6,37,0.4,26.7,0.9
Nelson 1983,ADM,Other,Upper,Upper,0.05,29.6,65.5,13,13,11.4,2.8,10.3,2.7
Nelson 1983,ADM,Other,Upper,Upper,0.1,29.6,65.5,13,13,12.3,3.1,12,2.3
Nelson 1983,ADM,Other,Upper,Upper,0.2,29.6,65.5,13,13,14.3,3.6,12,2.7
Nelson 1983,ADM,Other,Upper,Upper,0.05,29.6,74.8,13,9,11.4,2.8,10.3,3.4
Nelson 1983,ADM,Other,Upper,Upper,0.1,29.6,74.8,13,9,12.3,3.1,12,2.9
Nelson 1983,ADM,Other,Upper,Upper,0.2,29.6,74.8,13,9,14.3,3.6,12,3.1
Nelson 1983,ADM,Other,Upper,Upper,0.05,29.6,83.5,13,10,11.4,2.8,10.3,3.7
Nelson 1983,ADM,Other,Upper,Upper,0.1,29.6,83.5,13,10,12.3,3.1,12,3.3
Nelson 1983,ADM,Other,Upper,Upper,0.2,29.6,83.5,13,10,14.3,3.6,12,3.3
Patten 2001,ADM,Other,Upper,Upper,1,23.2,75.8,6,6,54,18.5,45.2,17.9
Feeney 2018,Extensor digitorum,Other,Upper,Upper,0.1,25,78,13,12,13.8,1.4,13.9,1.5
Feeney 2018,Extensor digitorum,Other,Upper,Upper,0.2,25,78,13,12,14,1.6,14.2,2
Erim 1999,First dorsal interosseous,Other,Upper,Upper,0.2,30.2,76.9,10,10,18.3,2.8,15.2,3.3
Erim 1999,First dorsal interosseous,Other,Upper,Upper,0.5,30.2,76.9,10,10,26.1,4.5,22.1,5.6
Kamen 1995,First dorsal interosseous,Other,Upper,Upper,0.5,27,76,7,7,24.3,8.2,22.9,6.4
Kamen 1995,First dorsal interosseous,Other,Upper,Upper,1,27,76,7,7,50.9,19.5,29.1,11.8
Kamen 2000,First dorsal interosseous,Other,Upper,Upper,0.5,27.7,74.9,7,8,24.5,3.3,21.1,3.3
